screen_name,followers_count,statuses_count,location,geo_enabled
PremJai09393230,2,0,"Kurawar, India",False
AshokKu15413354,1,0,,False
DarshitVerma1,1,1,,False
GauravJajn,0,0,,False
Krishna54228213,0,0,,False
flykween,0,0,,False
MeenakshiSubra6,2,0,"Chennai, India",False
MangaMangdeep,0,0,,False
Hari67070138,1,1,Yellandu,False
Radhika87962219,0,0,,False
ManjurK89819822,0,0,,False
GhulamM54303956,0,0,,False
SkRipon44021620,1,0,,False
yzKRAdy8ORjKDbq,1,0,,False
Vivek85048012,0,0,,False
mathieu2825,0,0,,False
Sunny72605384,0,1,,False
mathew72437,1,0,,False
fredlfaith5,0,0,,False
PrabhuK33766276,0,1,,False
BabluBh02643571,0,0,,False
Rullis8,1,0,,False
RohitCh49241405,1,2,,False
Vicky46105952,0,0,,False
RatherIshfak,0,1,,False
kipx_kipkorir,0,0,,False
PremKumarChou16,0,1,"Bihar, India",False
A4ZUvMahYSQQwQx,0,0,,False
asley0747iq,0,0,,False
PradipK05018597,0,0,,False
rajinde74250297,0,0,,False
Babluku54411899,0,0,,False
Surendr59421127,0,0,,False
SudhirS13813088,0,0,,False
Maan06052466,0,0,,False
IndaveDipak,1,0,,False
Chandra92737711,1,0,,False
NehaJoshi88,0,1,"Virar East, Mumbai",False
ashwani99213158,0,0,,False
36eT1b8ABbkcvxu,0,0,,False
Saloniv71718154,0,0,,False
Dharmen18012392,1,1,"Akbarpur, India",False
Man253916411,1,0,,False
RakheeAgrawal5,0,0,,False
malvinacox18,0,0,,False
SunIll49100923,0,0,,False
SubratB44105508,0,0,,True
RaviTej75087355,0,0,,False
seipati09008271,0,0,,False
VikasDa87332755,0,0,New delhi,False
Dheeraj99454833,0,0,,False
MaheshKodela,0,0,,False
barbato3930tm,1,0,,False
SNEHAKIRAN8,0,0,,False
Arzoosingh75134,0,0,,False
MdAnjarul7,1,0,,False
yulandamuniz3,0,0,,False
HuNtErAmAn1,7,3,"New Delhi, Delhi",False
C7kX0cfl83OI5Ew,1,0,,False
sydneyrickman4,0,0,,False
AKSHAYYende2,0,0,,False
SonuKum57290391,0,0,,False
PoonamMahato4,0,0,,False
ThippaniVarma,0,0,,False
Rajboy6671,1,0,"Kuala Lumpur City, Kuala Lumpur Federal Territory",False
KVanire,0,0,Pimple Gurav ,False
akhilgarg360360,0,0,,False
SumanMondal1999,2,0,"West Bengal, India",False
singh_ramdaso,0,0,,False
nilsa99935477,0,6,,False
SumeerKumar12,0,1,,False
BindiKacharia,0,0,,False
bzwasnxtrvd,0,0,,False
MyatNoe38821562,2,0,Myanmar,False
Alinayang14,1,0,,False
neomasalmon6,0,0,,False
itsaishv,7,8,"Kashipur, India",False
RaajaniV,0,0,,False
